# format: {code point}: {pinyins}  # {hanzi}
# e.g.:
# U+4E2D: zhōng,zhòng  #中
U+766A: jī  #癪
U+7819: wǎ  #砙
U+7872: yù  #硲
U+7874: huā  #硴
U+7897: wǎn  #碗
U+78B0: pèng  #碰
U+7935: shuāng  #礵
U+7A43: ròng  #穃
U+7A5D: zuō,zuì  #穝
U+7ACD: shí  #竍
U+7ACF: qiān  #竏
U+7AD3: háo,máo  #竓
U+7AD4: shēng  #竔
U+7AD5: fēn  #竕
U+7AE1: bǎi  #竡
U+7AF0: lí  #竰
U+7B02: wán  #笂
U+7B39: shì  #笹
U+7B3D: mǐn  #笽
U+7C13: diāo  #簓
U+7C17: zhù,liāng  #簗
U+7C31: qí  #簱
U+7C4F: qí  #籏
U+7C61: qiè  #籡
U+7C75: fán  #籵
U+7C7E: ní  #籾
U+7C81: qiān  #粁
U+7C82: zhāi  #粂
U+7C89: fěn  #粉
U+7C8D: zhé  #粍
U+7C8F: tài,tā  #粏
U+7C90: hù  #粐
U+7CA8: bǎi  #粨
U+7CAB: nuò, ér  #粫
U+7CAD: hé  #粭
U+7CC0: huā  #糀
U+7CCE: lí  #糎
U+7CD8: jiā  #糘
U+7D26: bā  #紦
U+7D9B: rěn  #綛
U+7E05: wēi  #縅
U+7E20: hú  #縠
U+7E27: tāo  #縧
U+7E28: huǎng  #縨
U+7E67: wén,yún  #繧
U+7E83: qí  #纃
U+7E90: jiāo, qiāo  #纐
U+7FAA: yǎng, yōu  #羪
U+8062: dìng  #聢
U+80F1: guāng  #胱
U+8135: gǔ  #脵
U+817A: xiàn  #腺
U+81A3: zhì  #膣
U+81A4: xuě  #膤
U+81B5: cuì  #膵
U+8249: wěi  #艉
U+825D: xuě  #艝
U+8260: dēng  #艠
U+82C6: qiē  #苆
U+834E: chí  #荎
U+8362: zì  #荢
U+8419: zhěn  #萙
U+8421: bó  #萡
U+8422: pāo  #萢
U+8429: qiū,jiāo  #萩
U+8485: rǎn  #蒅
U+84A6: huò,wò  #蒦
U+84D9: zuò  #蓙
U+84DC: pèi  #蓜
U+8536: zé  #蔶
U+8550: huá  #蕐
U+85AD: bài  #薭
U+8612: qiū  #蘒
U+8630: màn  #蘰
U+8645: téng  #虅
U+8672: xiā  #虲
U+86AB: bào,páo  #蚫
U+86CC: gǔ,tún  #蛌
U+86EF: lǎo  #蛯
U+870A: lì  #蜊
U+87A7: qí  #螧
U+87A9: dāo,tiáo  #螩
U+87CE: mǎn  #蟎
U+87D0: chán, cháng  #蟐
U+87F5: chú  #蟵
U+88B0: bō  #袰
U+88C3: kǎ  #裃
U+88C4: háng  #裄
U+8904: qī  #褄
U+891C: páo  #褜
U+8945: bì  #襅
U+8977: jǔ  #襷
U+8AAE: huā  #誮
U+8ADA: biàn  #諚
U+8CEC: zhàng  #賬
U+8DF4: cǎi  #跴
U+8EAE: fēn  #躮
U+8EB5: rěn  #躵
U+8EBB: kōng  #躻
U+8EBE: měi  #躾
U+8EC8: yīng  #軈
U+8F4C: xuě  #轌
U+8FB7: yī  #辷
U+8FBB: shí  #辻
U+8FBC: rù  #込
U+8FDA: dá  #迚
U+9027: gǔ  #逧
U+9056: nán  #遖
U+915B: yuán  #酛
U+91D7: zhāo  #釗
U+91FB: qiú  #釻
U+9228: yuán  #鈨
U+9286: mò  #銆
U+92AB: sè  #銫
U+92AF: sī  #銯
U+92B0: āi  #銰
U+92EE: chéng  #鋮
U+92F2: bīng  #鋲
U+9335: huā  #錵
U+933A: fāng  #錺
U+933B: wǔ  #錻
U+9379: xuān  #鍹
U+93B9: sòng  #鎹
U+93BA: zǔ  #鎺
U+93E5: xiù  #鏥
U+9425: shàn  #鐥
U+9441: zōng  #鑁
U+9453: qiǎn  #鑓
U+958A: shān  #閊
U+9596: shuǐ  #閖
U+96EB: nǎ  #雫
U+974D: hè  #靍
U+974E: hè  #靎
U+9786: bǐng  #鞆
U+9790: kǎ  #鞐
U+98AA: guā  #颪
U+9919: shì,xī  #餙
U+9942: wēn  #饂
U+9A6B: biāo,piāo  #驫
U+9B5E: bà  #魞
U+9B78: piàn  #魸
U+9B79: mó  #魹
U+9B83: píng  #鮃
U+9B84: fú  #鮄
U+9B96: shí  #鮖
U+9B97: dōng  #鮗
U+9B98: dài  #鮘
U+9B99: tǎ,dié   #鮙
U+9BB1: lǎo  #鮱
U+9BB2: fú  #鮲
U+9BB4: xiū  #鮴
U+9BCE: chéng  #鯎
U+9BCF: lí  #鯏
U+9BD0: zǒu  #鯐
U+9BD1: xī  #鯑
U+9BD2: yǒng  #鯒
U+9BEA: líng  #鯪
U+9BF0: nián  #鯰
U+9BF1: hǔ  #鯱
U+9BF2: yú  #鯲
U+9BF3: dǐ  #鯳
U+9C18: shì  #鰘
U+9C19: ruò  #鰙
U+9C1A: xuān  #鰚
U+9C2F: ruò  #鰯
U+9C30: shén  #鰰
U+9C39: jiān  #鰹
U+9C47: kāng  #鱇
U+9C48: xuě  #鱈
U+9C5A: xǐ,xī  #鱚
U+9C5B: zēng  #鱛
U+9C5C: xiāng  #鱜
U+9C69: léi  #鱩
U+9C6A: shǔ  #鱪
U+9C6B: ài  #鱫
U+9C70: shǔ  #鱰
U+9CF0: rù  #鳰
U+9D2B: tián  #鴫
U+9D30: guā  #鴰
U+9D46: héng  #鵆
U+9D47: nián  #鵇
U+9D48: ě  #鵈
U+9D63: lài,chì  #鵣
U+9D64: zān,jiǎo  #鵤
U+9D65: pàn  #鵥
U+9D8D: yì  #鶍
U+9D8E: zōng  #鶎
U+9DAB: dōng  #鶫
U+9DB8: ruò  #鶸
U+9DDC: lóu,lǚ  #鷜
U+9DED: fán  #鷭
U+9E91: ní  #麑
U+9EBF: mí, mó  #麿
U+9FC2: chē,jū  #鿂
U+FA0F: gǔ  #﨏
U+FA13: fú  #﨓
U+FA21: shēng  #﨡
U+FA24: jí  #﨤
U+FA29: dǎo  #﨩
U+202C9: fēi  #𠋉
U+203F9: fó,fú,bì,bó  #𠏹
U+204DB: jí  #𠓛
U+20523: gǒng  #𠔣
U+206A4: tóng  #𠚤
U+206FF: qiú  #𠛿
U+2097C: dǒu,dòu  #𠥼
U+209D7: nòng,lòng  #𠧗
U+20BE6: qiē  #𠯦
U+20C5A: lòng  #𠱚
U+20D45: huá  #𠵅
U+20E95: liū,liáo  #𠺕
U+20EFB: bì  #𠻻
U+2103F: lǜ  #𡀿
U+21255: wán  #𡉕
U+21296: běn  #𡊖
U+212AF: fèn  #𡊯
U+212FD: chì  #𡋽
U+21336: bàn  #𡌶
U+21344: jū  #𡍄
U+213BA: zhú  #𡎺
U+2146D: huì  #𡑭
U+2146E: sāi  #𡑮
U+216F3: bái  #𡛳
U+21706: yuē  #𡜆
U+21757: qún  #𡝗
U+21807: yǎo  #𡠇
U+21845: niǎo  #𡡅
U+21847: gài,gě  #𡡇
U+218B3: jìn  #𡢳
U+218BD: léi  #𡢽
U+218D9: qí  #𡣙
U+21945: cún  #𡥅
U+21C56: zhū  #𡱖
U+21CEB: lóu  #𡳫
U+21D45: là  #𡵅
U+21D9A: bāng  #𡶚
U+21DA1: bàn  #𡶡
U+21F76: bì  #𡽶
U+2217B: shuāng  #𢅻
U+2233D: nièpán  #𢌽
U+22451: duō  #𢑑
U+225F0: fǎn  #𢗰
U+2286B: zhuī  #𢡫
U+228AB: chūn  #𢢫
U+228FA: jìn  #𢣺
U+22B3E: xī  #𢬾
U+22B46: chōu  #𢭆
U+22BD8: huā  #𢯘
U+22C1D: mào  #𢰝
U+22CDF: tǒng  #𢳟
U+22D57: jú  #𢵗
U+22D67: xiàn  #𢵧
U+22DE1: jié,zhé  #𢷡
U+231F5: jīng  #𣇵
U+23221: tǐ  #𣈡
U+232E0: qí  #𣋠
U+23372: yāo  #𣍲
U+233E4: fū  #𣏤
U+233E7: chǐ  #𣏧
U+23429: bǎi,shēn  #𣐩
U+2344A: zài  #𣑊
U+2344B: shǒu  #𣑋
U+23451: zì  #𣑑
U+23465: kǎo  #𣑥
U+23475: yù  #𣑵
U+2347A: yǐng  #𣑺
U+2350B: jīn  #𣔋
U+2355A: mào  #𣕚
U+23595: píng  #𣖕
U+235C4: huāng  #𣗄
U+23638: hēi  #𣘸
U+23654: lí  #𣙔
U+2365F: táng  #𣙟
U+2366A: má  #𣙪
U+236AD: jú  #𣚭
U+236C0: liáng  #𣛀
U+236DB: huà  #𣛛
U+236DC: zá  #𣛜
U+236E3: kāi  #𣛣
U+2370C: shǔ  #𣜌
U+2371C: wàn  #𣜜
U+2373F: yè  #𣜿
U+2375B: jù  #𣝛
U+23764: cuī,zhǐ  #𣝤
U+23782: zhǒu  #𣞂
U+23CA9: sì  #𣲩
U+23D00: sè,zhōu  #𣴀
U+23DD3: yì,hé  #𣷓
U+23DFA: shà  #𣷺
U+24247: wú  #𤉇
